List of universities in France:
state_province     domain      country                       web pages                                  name               alpha two code
null           [ac-paris.fr]         France     [https://www.ac-paris.fr/]     Académie de Paris     FR
null           [ac-aix-marseille.fr]         France     [https://www.ac-aix-marseille.fr/]     Académie d'Aix-Marseille     FR
null           [student.42.fr]         France     [http://www.42.fr/]     42 FR     FR
null           [aea.asso.fr]         France     [http://www.aea.asso.fr/]     Ecole de l'Air     FR
null           [agroparistech.fr]         France     [http://www.agroparistech.fr/]     AgroParisTech     FR
null           [agro.roazhon.inra.fr]         France     [http://agro.roazhon.inra.fr/]     Ecole Nationale Supérieure d'Agronomie de Rennes     FR
null           [agro.roazhon.inra.fr]         France     [http://agro.roazhon.inra.fr/etab/insfa/accueil.htm]     Institut National Supérieur de Formation Agro-Alimentaire     FR
null           [agrosupdijon.fr]         France     [http://www.agrosupdijon.fr/]     AgroSup Dijon     FR
null           [ags.edu]         France     [http://www.ags.edu/]     American Graduate School in Paris     FR
null           [aup.fr]         France     [http://www.aup.fr/]     American University of Paris     FR
null           [bip.lon.ac.uk]         France     [http://www.bip.lon.ac.uk/]     British Institute in Paris, University of London     FR
null           [ceram.edu]         France     [http://www.ceram.edu/]     Ecole Supérieure de Commerce de Sophia Antipolis     FR
null           [cesi.fr]         France     [http://www.cesi.fr/]     Centre d'Etudes Supérieures Industrielles Paris     FR
null           [cfpj.com]         France     [http://www.cfpj.com/]     Centre de Formation et de Perfectionnement des Journalistes     FR
null           [cnam.fr]         France     [http://www.cnam.fr/]     Conservatoire National des Arts et Métiers     FR
null           [cnearc.fr]         France     [http://www.cnearc.fr/]     Centre National d'Etudes Agronomiques des Régions Chaudes     FR
null           [cpe.fr]         France     [http://www.cpe.fr/]     Ecole Supérieure de Chimie Physique Electronique de Lyon     FR
null           [cribx1.u-bordeaux.fr]         France     [http://www.cribx1.u-bordeaux.fr/]     Université Bordeaux I     FR
null           [cust.univ-bpclermont.fr]         France     [http://cust.univ-bpclermont.fr/]     Institut des Sciences de l'Ingénieur de Clermont-Ferrand     FR
null           [dauphine.fr]         France     [http://www.dauphine.fr/]     Université Paris-Dauphine (Paris IX)     FR
null           [devinci.fr]         France     [http://www.devinci.fr/]     Ecole Superieur d'Ingenieurs Leonard de Vinci     FR
null           [e3i.univ-tours.fr]         France     [http://www.e3i.univ-tours.fr/]     Ecole d'Ingénieurs en Informatique pour l'Industrie     FR
null           [eap.fr]         France     [http://www.eap.fr/]     Ecole Européen des Affaires     FR
null           [ebs-paris.com]         France     [http://www.ebs-paris.com/]     European Business School     FR
null           [ecam.fr]         France     [http://www.ecam.fr/]     Ecole Catholique d'Arts & Metiers     FR
null           [ece.fr]         France     [http://www.ece.fr/]     Ecole Centrale d'Electronique - ECE     FR
null           [imt-atlantique.net]         France     [https://www.imt-atlantique.fr/]     IMT Atlantique     FR
null           [ec-lille.fr]         France     [http://www.ec-lille.fr/]     Ecole Centrale de Lille     FR
null           [ec-lyon.fr]         France     [http://www.ec-lyon.fr/]     Ecole Centrale de Lyon     FR
null           [ec-nantes.fr]         France     [http://www.ec-nantes.fr/]     Ecole Centrale de Nantes     FR
null           [centrale-marseille.fr]         France     [https://www.centrale-marseille.fr/]     Ecole Centrale de Marseille     FR
null           [ecoles-idrac.com]         France     [http://www.ecoles-idrac.com/]     IDRAC (Institut de recherche en action commerciale)     FR
null           [edu.edhec.com]         France     [http://edu.edhec.com/]     Ecole des Hautes Etudes Commerciales du Nord     FR
null           [eerie.fr]         France     [http://www.eerie.fr/]     Ecole pour les Etudes et la Recherche en Informatique et Electronique     FR
null           [efpg.inpg.fr]         France     [http://www.efpg.inpg.fr/]     Ecole Française de Papeterie et des Industries Graphiques     FR
null           [efrei.fr]         France     [http://www.efrei.fr/]     Ecole Française d'Electronique et d'Informatique     FR
null           [eivp-paris.fr]         France     [http://www.eivp-paris.fr/]     Ecole des Ingénieurs de la Ville de Paris     FR
null           [emc-campus.com]         France     [http://www.emc-campus.com/]     European Management Center Paris     FR
null           [em-lyon.com]         France     [http://www.em-lyon.com/]     Ecole Supérieure de Commerce de Lyon     FR
null           [emse.fr]         France     [http://www.emse.fr/]     Ecole Nationale Supérieure des Mines de St-Etienne     FR
null           [enac.fr]         France     [http://www.enac.fr/]     Ecole Nationale de l'Aviation Civile     FR
null           [ena.fr]         France     [http://www.ena.fr/]     Ecole Nationale d'Administration     FR
null           [enic.fr]         France     [http://www.enic.fr/]     ENIC Telecom Lille 1     FR
null           [enim.fr]         France     [http://www.enim.fr/]     Ecole Nationale d'Ingénieurs de Metz     FR
null           [enise.fr]         France     [http://www.enise.fr/]     Ecole Nationale d'Ingénieurs de Saint-Etienne     FR
null           [enitab.fr]         France     [http://www.enitab.fr/]     Ecole Nationale d'Ingénieurs des Travaux Agricoles de Bordeaux     FR
